variable,group
div_threatened.languages_nb_tr_Asia,22
div_threatened.languages_nb_tr_Central_America,22
div_threatened.languages_nb_tr_Australia_and_New_Zealand,22
div_prop.threatened.languages_nb_tr_Western_Africa,22
div_prop.threatened.languages_nb_tr_Oceania,22
div_prop.threatened.languages_nb_tr_Europe,22
div_prop.threatened.languages_nb_tr_Southern_Asia,22
div_prop.threatened.languages_nb_tr_South_America,22
div_prop.threatened.languages_nb_tr_Northern_America,22
div_prop.threatened.languages_nb_tr_Africa,22
div_prop.threatened.languages_nb_tr_South-Eastern_Asia,22
div_prop.threatened.languages_nb_tr_Arab,22
div_prop.threatened.languages_nb_tr_Asia,22
div_prop.threatened.languages_nb_tr_Central_America,22
div_prop.threatened.languages_nb_tr_Australia_and_New_Zealand,22
div_language.evenness_nb_tr_Western_Africa,23
div_language.evenness_nb_tr_Oceania,23
div_language.evenness_nb_tr_Europe,23
div_language.evenness_nb_tr_Southern_Asia,23
div_language.evenness_nb_tr_South_America,23
div_language.evenness_nb_tr_Northern_America,23
div_language.evenness_nb_tr_Africa,23
div_language.evenness_nb_tr_South-Eastern_Asia,23
div_language.evenness_nb_tr_Arab,23
div_language.evenness_nb_tr_Asia,23
div_language.evenness_nb_tr_Central_America,23
div_language.evenness_nb_tr_Australia_and_New_Zealand,23
conn_nav.water_nb_tr_Western_Africa,24
conn_nav.water_nb_tr_Oceania,24
conn_nav.water_nb_tr_Europe,24
conn_nav.water_nb_tr_Southern_Asia,24
conn_nav.water_nb_tr_South_America,24
conn_nav.water_nb_tr_Northern_America,24
conn_nav.water_nb_tr_Africa,24
conn_nav.water_nb_tr_South-Eastern_Asia,24
conn_nav.water_nb_tr_Arab,24
conn_nav.water_nb_tr_Asia,24
conn_nav.water_nb_tr_Central_America,24
conn_nav.water_nb_tr_Australia_and_New_Zealand,24
conn_roads_nb_tr_Western_Africa,19
conn_roads_nb_tr_Oceania,19
conn_roads_nb_tr_Europe,19
conn_roads_nb_tr_Southern_Asia,19
