"","ISO","Language.Name","Altitude","Area","Bordering.languages","Bordering.languages.km","Extended","L1.pop","Polysynthetic","Roughness","Small.family","Vehicularity"
"204","aly","Alyawarr",183.8561211,128473.5467,7,0.004218093,0,1660,0,4.012237132,0,0
"205","alz","Alur",625.1963043,6275.59363,6,0.008888006,0,1367000,0,5.376457453,0,0
"206","ama","Amanayé",145.5338631,22672.43851,1,0.001690478,0,192,0,3.963261008,0,0
"207","amb","Ambo",1055.950439,47.02178922,3,0.104766059,0,1000,0,5.800908089,0,0
"208","amc","Amahuaca",1062.444458,11312.07362,9,0.010177412,0,310,0,4.762274504,0,0
"209","ame","Yanesha'",3145.368011,7727.597119,6,0.016181562,1,9830,1,6.849880099,0,0
"210","amf","Hamer-Banna",1325.46106,8485.559644,9,0.017085077,0,73500,0,6.516802788,0,0
"211","amg","Amurdak",169.3298397,1001.303899,3,0.017810548,0,1,0,4.232854426,0,0
"212","amh","Amharic",1631.497762,138607.9693,12,0.003559416,0,21600000,0,6.660319328,0,1
"213","ami","Amis",1694.537476,2258.970396,3,0.009639896,0,138000,0,7.072025061,0,0
"214","amj","Amdang",330.4064026,2790.056114,4,0.013863729,0,41100,0,4.541468143,1,0
"215","amk","Ambai",472.1653748,190.0429032,3,0.0248044,0,10100,0,5.660175562,0,0
"216","aml","War-Jaintia",1381.800034,2435.007275,7,0.015987286,0,41900,0,5.699781299,0,0
"217","amm","Ama (Papua New Guinea)",1750.407135,237.7539419,3,0.044366885,0,480,0,6.133559704,0,0
"218","amn","Amanab",988.9312134,601.4685319,6,0.061152037,0,4420,0,6.103123665,0,0
"219","amo","Amo",679.3311615,499.6176074,5,0.056106985,0,12300,0,5.087510467,0,0
"220","amp","Alamblak",1519.695343,612.158758,5,0.0441119,1,1530,1,6.334013462,0,0
"221","amq","Amahai",473.8993835,27.13328744,1,0.042608164,0,50,0,6.308526993,0,0
"222","amr","Amarakaeri",2081.6091,3426.345364,1,0.003595064,1,500,0,5.883772135,1,0
"223","ams","Southern Amami-Oshima",56.97549629,284.7578959,1,0.003972114,0,1800,0,4.704214096,0,0
"224","amt","Amto",988.9312134,171.6983291,2,0.038235841,0,300,0,6.103123665,1,0
"225","amu","Guerrero Amuzgo",2254.434814,749.7280947,2,0.019871771,0,30600,0,6.844264984,0,0
"226","amv","Ambelau",894.6515503,114.1905845,1,0.016575963,0,5700,0,6.546961308,0,0
"227","amw","Western Neo-Aramaic",851.4304352,87.09185137,1,0.02880044,0,15000,0,6.181758523,0,0
"228","amx","Anmatyerre",256.2542953,28102.30623,4,0.00556946,0,1000,0,4.624278307,0,0
"229","amy","Ami",176.3206736,568.8370427,3,0.020072594,1,30,1,4.499478102,0,0
"230","amz","Atampaya",75.97362518,5624.05376,3,0.008215551,0,0,0,3.983069658,0,0
"231","ana","Andaqui",3027.224365,10065.84809,3,0.006944046,0,0,0,7.2380476,1,0
"232","anb","Andoa",215.1704407,6905.904875,1,0.002934409,0,0,0,3.993082881,0,0
"233","anc","Ngas",1071.028687,860.3465402,12,0.079558845,0,400000,0,5.339579582,0,0
"234","and","Ansus",370.4379883,193.0335863,8,0.046519426,0,4600,0,5.775818348,0,0
"235","ane","Xârâcùù",232.1738453,1641.177349,3,0.010769783,0,5730,0,5.405962944,0,0
"236","anf","Animere",371.0193634,2.786510211,1,0.148086449,0,700,0,4.921035767,0,0
"237","anh","Nend",1692.247772,254.3397711,7,0.11150436,0,2000,0,6.021868944,0,0
"238","ani","Andi",1483.36377,182.7631314,6,0.083462116,0,5800,0,6.629453659,0,0
"239","anj","Anor",1692.247772,124.8175294,5,0.089816393,0,980,0,6.021868944,0,0
"240","ank","Goemai",1071.028687,2701.311135,4,0.018522932,0,200000,0,5.339579582,0,0
"241","anl","Anu",713.7562561,185.3503624,0,0,0,4000,0,5.842456818,0,0
"242","anm","Anal",1216.67041,2443.783861,9,0.029735226,0,23250,0,6.178402901,0,0
"243","ann","Obolo",269.6792212,659.0165427,8,0.039618802,0,250000,0,4.263822079,0,0
"244","ano","Andoque",78.08044338,927.1953918,4,0.034293821,0,370,0,3.605619252,1,0
"245","anp","Angika",858.5138321,8845.66006,7,0.015242042,0,743600,0,4.741089821,0,0
"246","anq","Jarawa (India)",67.76947403,894.8844314,1,0.003160347,0,250,0,3.996647477,1,0
"247","anr","Andh",291.2916031,3278.249326,1,0.004172496,0,100000,0,4.905073881,0,0
"248","ans","Anserma",2269.757507,24089.24555,2,0.002906316,0,0,0,6.694281697,0,0
"249","ant","Antakarinya",176.4272671,5235.605741,0,0,0,12,0,4.166163325,0,0
"250","anu","Anuak",935.6672211,16940.08213,7,0.007020847,0,140000,0,4.396947861,0,0
"251","anv","Denya",727.786972,1895.625621,10,0.046835631,0,11200,0,5.333243728,0,0
"252","anw","Anaang",338.4983521,2147.812076,3,0.015035641,0,1400000,0,4.893113057,0,0
"253","anx","Andra-Hus",71.9605484,1.462429043,0,0,0,1310,0,4.823676586,0,0
"254","any","Anyin",175.0929108,22891.28697,15,0.012702921,0,860000,0,4.27458787,0,0
"255","anz","Anem",613.0570679,479.0188705,3,0.027552551,0,800,0,6.149116993,1,0
"256","aob","Abom",512.1255379,1.406841653,2,0.399789892,0,15,0,4.056661487,0,0
"257","aoc","Pemon",1310.337891,56979.47589,7,0.00556753,0,6010,0,6.165827274,0,0
"258","aod","Andarum",1692.247772,164.122842,3,0.039877045,0,1080,0,6.021868944,0,0
"259","aoe","Angal Enen",1877.011841,347.7519696,3,0.042735995,0,22000,0,6.338659883,0,0
"260","aof","Bragat",798.9605103,34.95091831,5,0.201959602,0,460,0,5.861983538,0,0
"261","aog","Angoram",753.1196289,1238.624282,5,0.02292144,1,8220,1,5.36567688,0,0
"262","aoi","Anindilyakwa",86.7170248,2590.05982,1,0.001378526,1,1290,1,3.877936363,0,0
"263","aoj","Mufian",608.9898071,235.4536046,6,0.073230337,0,11000,0,5.62084341,0,0
"264","aok","Arhö",232.1738453,140.052739,4,0.08480583,0,10,0,5.405962944,0,0
"265","aol","Alorese",568.1637573,134.4892846,7,0.044101279,0,25000,0,6.116060734,0,0
"266","aom","Ömie",1962.103271,399.2576651,4,0.047865596,0,800,0,7.013994217,0,0
"267","aon","Bumbita Arapesh",608.9898071,67.48822661,4,0.10903286,0,4340,0,5.62084341,0,0
"268","aos","Taikat",1018.881248,805.3726102,6,0.047955726,0,500,0,6.221927762,0,0
"269","aot","Atong (India)",1210.084686,970.7792513,6,0.040981437,0,10000,0,5.138779879,0,0
"270","aox","Atorada",354.5265961,1090.239617,1,0.008415866,1,0,1,4.642304579,0,0
"271","aoz","Uab Meto",316.5432124,10893.85179,5,0.007925058,0,700000,0,5.266884923,0,0
"272","apb","Sa'a",447.8432312,525.3955356,2,0.008687944,0,11500,0,5.977975368,0,0
"273","ape","Bukiyip",608.9898071,830.6774282,4,0.034069553,0,16200,0,5.62084341,0,0
"274","apg","Ampanang",435.463913,2526.323467,5,0.020800483,0,30000,0,5.217139721,0,0
"275","aph","Athpariya",2185.364502,68.68098285,6,0.165554737,1,5530,1,6.084828138,0,0
"276","api","Apiaká",157.6858342,2343.407802,2,0.007641947,0,1,0,4.35777696,0,0
"277","apj","Jicarilla Apache",1697.095215,1336.698677,2,0.012734086,1,300,1,6.324881077,0,0
"278","apk","Kiowa Apache",252.8580627,122.5834892,1,0.020548636,1,3,1,4.292620659,0,0
"279","apm","Mescalero-Chiricahua Apache",1158.792358,1538.895013,1,0.005204741,1,1500,1,6.072377205,0,0
